Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Automile,automile.com,Integrated solutions for fleet management & vehicle tracking,Series B,"56,200,000",Optimisation,Existing,2013,"United States
 Sweden",Both,TRUE,,,,
ShareMat,sharemat.fr,Provides solutions for fleet management services,Seed,"2,210,360",Optimisation,Existing,2017,France,Both,TRUE,,,,
Vizional Technologies,vizional.com,Provider of RFID-based asset tracking solutions,Acquired,"11,900,000",Optimisation,Existing,2013,USA,Both,TRUE,,,,
Visybl,visybl.com,Solution for indoor asset tracking,Seed,"500,000",Optimisation,Emerging,2015,USA,Both,TRUE,,,,
Commit Works,https://www.commit.works/,"Commit Works develops workforce scheduling and planning solution for industrial sectors such as mining, construction, utilities, rail distribution and others. The catalog includes solution such as Fewzion scheduling software, a job management, and workforce schedule tools that help supervisors to plan task, crew & roster management, variance reporting, monitor progress, and others. Short Interval Control, shift & task management application used by the supervisor to monitor onfield task progress and enables them to make an onfield correction to improve performance. Visual management system, an onfield task tracking & evidence collection application",Seed,"700,000",Optimisation,Emerging,2012,Australia,Mining,TRUE,,,,
MachineMax,https://www.machinemax.com/,"Heavy equipment platform that helps off-highway companies to maximize the productivity and profitability of every machine in their fleet using revolutionary wireless telematics. MachineMax lets you track utilisation, idling, fuel and geolocation for any machine, offering an intuitive digital platform to consolidate all machine data and provides a wireless smart sensor for those machines which aren’t connected.",Seed,"1,000,000",Optimisation,Emerging,2004,United Kingdom,Mining,TRUE,,,,
BuildStream,https://www.buildstream.co/,"The labour and services marketplace for energy, construction, and infrastructure. We connect independent contractors looking for work with clients that are hiring.
",Seed,"150,000",Specialist Services,Emerging,2018,USA,Both,TRUE,,,,
Recybeton,https://www.pnrecybeton.fr/en/,"The aim of the National Project for Research and Development RECYBETON is to re-use all the materials of deconstructed concrete, as components of new concrete or hydraulic binders, including the fine particles.",Unfunded,n/a,Circular Economy,Emerging,2005,France: Paris,Cement,TRUE,,,,
Agora Energy Technologies,https://agoraenergy.ca/applications/,"Agora Energy Technologies Ltd. is an innovative electrochemical engineering company that provides solutions for the next generation of energy technologies. Our proprietary technologies aim to create a bridge between industrial CO2 emitters, renewable power generators and utility providers.",Unfunded,n/a,Decarbonisation,Emerging,2006,Canada,Both,TRUE,,,,
Prebona,http://www.prebona.com/,"Prebona provides advanced nanotechnology which transforms natural materials into functional products for use in Nanocoatings Agriculture and Nanomedicine. Its technology includes Prebona nano coating and KompoTechnology, which uses active substances such as silver which enables effective but expensive substances, such as precious metals and dyestuffs to be used. Product range includes antimicrobial systems, dirt repellent materials, plant protection products, sealant systems and scratch resistant materials. These products also include water dispersions of nano-sized particles with a core of silica (SiO2). The surface of these particles are modified to allow for an active substance to attach strongly and provide a specific property",Unfunded,n/a,,,2011,Sweden,Cement,FALSE,,,,
Terra Innova,https://terrainnova.fr/,"Terra Innova proposes to reuse land from previously unrecorded, low-value and costly construction sites in the construction of positive impact agricultural structures.",Undisclosed,Undisclosed,Local Resources,Existing,2007,France,Both,TRUE,,,,
Bio-Mine,http://www.biomine.ca/,"Bio-Mine started in 2015, in a closet office in Sudbury Ontario Canada, with a discovery of an extreme adaptive bio-community made up of combination eukaryote / Prokaryote species working together to adapt and survive in harsh environments, producing nickel and copper in solution in the process. A very small test-group of operators were chosen to begin the development of this discovery, culminating in being awarded Top 5 selection in the 2017 Goldcorp Disrupt Mining Challenge, being recognized as potential game changing by industry heavyweaghts like David Harquail - Franco Nevada and Rob McEwen - McEwen Mining.",Unfunded,,,,2009,Canada,Mining,FALSE,,,,
Cementation,https://en.cementation.com/,,,,,,2009,USA,Mining,FALSE,,,,
Thoroughtec,http://www.thoroughtec.com/,,,,,,2010,South Africa,Mining,FALSE,,,,
Terrative Digital Solutions,https://www.minerp.com/terrative,"Terrative Digital Solutions is a division of Dundee Precious Metals, focused on developing and marketing digital solutions for remote and underground locations.",Acquired,Undisclosed,Specialist Services,Existing,2010,South Africa,Mining,TRUE,,,,
VoxelNET,https://www.voxelnet.com,"VoxelNET provides 3D visualization and simulation platform to generate a virtual mine and simulate its working, to store remote sensing information. Its features include 3D visualization of production sites for planning purposes, 3D simulation of mining including blasting, tracking of localized ore through the mining, and integration and tracking of production with financial transactions.",Undisclosed,Undisclosed,Build,Emerging,2010,Australia,Mining,TRUE,,,,
Decipher,http://www.decipher.com.au,"Decipher provides precision agriculture solutions. Its product DecipherAg uses satellite imagery and geospatial data to provide data-driven insights, farming recommendations, and yield predictions for farmers. Also, offers tech-enabled soil sampling services through Decipher Go. The farmer can access the soil data and soil maps through its mobile application available for Android and iOS users.",Unfunded,n/a,Exploration,Emerging,2010,Australia,Mining,TRUE,,,,
Stockpile Reports,https://www.stockpilereports.com,"Stockpile Reports is automated stockpile inventory management software. It provides a platform for managing stockpile and calculating timely stockpile volumes and tonnage using data collected through iPhone, drone, UAV, and aerial. Its features include auto-detection of piles, automatic removal of obstructions, accurate measurements with LiDAR, and integration with business systems. It offers a subscription-based pricing model. Colas, Quikrete, Knife River, and Oldcastle are part of its clientele.",Unfunded,n/a,Supply,Emerging,2010,USA,Both,TRUE,,,,
Eclipse Miningware,http://www.eclipseminingware.com,"Eclipse Miningware is a production tracking and reporting software for the mining industry. It provides solutions such as preparation, implementation, customization, training, and analysis. Its features include database collaboration tool, spreadsheet management, professional data capture, and reporting systems.",Unfunded,n/a,Supply,Existing,2010,United Kingdom,Mining,TRUE,,,,
Mappt (Takor Group),https://www.mappt.com.au,"Mappt provides GIS platform to capture and manage geospatial data for mining, environmental, educational, and agricultural industries. Provides features like field data collection, geotagging & integration, offline capability, Android-based application, Google Maps API integration, and others. It offers a subscription-based pricing model.",Unfunded,n/a,Exploration,Emerging,2010,Australia,Mining,TRUE,,,,
H&S Manager,http://hsmanager.net/site/index.html,"H&S Manager is a fully automated cloud-based health and safety management tool for various industries. It caters to civil, construction, and mining industries. Its features include daily reporting, risk management, real-time visual display of data & alerts, electronic forms, health & safety management review, workplace inspection, weekly/monthly health & safety meetings, incident reporting, and reporting dashboards. It offers a subscription-based pricing model. Mustang Designs and Eastside Civil Pty Ltd are part of its clientele.",Unfunded,n/a,Safety,Existing,2010,Australia,Mining,TRUE,,,,
Guardvant (Hexagon Mining),https://www.guardvant.com,"GuardVant offers safety and security systems to improve productivity, safety and security at mine, plant and port operations. GuardVant OpGuard is a non-intrusive fatigue monitoring system. GuardVant ProxGuard is a radar, video, and GPS system for proximity awareness and collision avoidance to reduce blind spots. OpGuard and ProxGuard address operator fatigue and blind spots. The system could also have potential uses in normal cars and fleet management solutions. Currently it is only targeted at mines, plants and ports operations.",Acquired,Undisclosed,Safety,Emerging,2010,USA,Mining,TRUE,,,,
Remote Eye,https://www.remoteeye.com,"Remote Eye provides a platform for technical video assistance with smart glass wearables. It allows sharing of information between field technicians and support departments. It caters to industries such as automotive, pharmaceutical, oil & gas, mining, healthcare, IT maintenance, security, transportation, and food industry. Its features include augmented reality, securely encrypted video streaming, and integration with the customer's backend system such as SAP, IBM, & Mircosoft. The app is available for smartphones, computers, tablets, and wearable smartglasses.",Unfunded,n/a,Safety,Emerging,2010,Spain,Mining,TRUE,,,,
Manufacturing Intelligence,https://www.manufacturingintelligence.com.au,Manufacturing Intelligence is a provider of manufacturing operations management solutions. The product portfolio includes MI spatial intelligence that offers real-time 3D- visualization of live operational and design data from one source; MI modeller that offers modeling and deploying of the solutions; MI tracking that offers visibility of the state of the operations and MI operations accounting that offers integration between operations management systems and ERP.,Unfunded,n/a,Optimisation,Emerging,2011,Australia,Mining,TRUE,,,,
devFU,http://devfu.com.au/,"devFU is a provider of workforce management solution in the mining industry. Lineup Board, proprietary software is a shift-based equipment planning software that allows mining companies to manage their equipment and worker allocations and get it communicated to the entire workforce. The software is a web-based software and has multi-browser support (Internet Explorer, Chrome, Firefox, Safari) and integrates with existing network security (Active Directory).",Unfunded,n/a,Optimisation,Existing,2011,Australia,Mining,TRUE,,,,
Clickmox Solutions,https://www.clickmox.com,"Clickmox Solutions is a provider of high tech products for the mining industry such as 3D LiDAR scanning, robotics, drones, geotechnical monitoring, point cloud data processing, convergence monitoring, and simulations. Some of the products include monitoring system for depth of stress-induced fractures in underground mine openings, development of a robust borehole clearance robot, drones for underground mines, undercut/overcut estimation during lateral development in underground mines and development of a laser-based vehicle positioning system for GPS-denied environments. Clients include Rio Tinto, Vale, Cemi, Inkonova, amongst others. Also offers consultancy services.",Unfunded,n/a,Safety,Emerging,2011,Canada,Mining,TRUE,,,,
SimSched,http://www.simsched.com / https://miningmath.com/,Simsched is a provider of block modeling cost estimator solutions. The product portfolio includes SimSchedPO used to calculate the undiscounted value of the project: the maximum profit that the project could generate if all the material were mined and processed today and SimSchedDBS considers that NPV of the project is maximized considering a discount rate over the periods. Offers a license-based pricing model.,Unfunded,n/a,Exploration,Emerging,2011,Brazil,Mining,TRUE,,,,
EHS Insight,https://www.ehsinsight.com,"EHS Insight, a brand of StarTex software (a subsidiary of Petrotechnical Data Systems) provides cloud-based environmental, health and safety (EHS) performance improvement platform for enterprises to manage EHS activities and ensure compliance. The product features are incident management, audit management, training management, sustainability management, near misses, root cause analysis, nonconformance management, environmental spills, compliance obligations and work observations. Some of the clients are MODEC, STRIKE, B&amp;W, ENSIGN etc. It has been named as a ""Smart Innovator"" by Verdantix in 2016.",Unfunded,n/a,Safety,Existing,2011,USA,Mining,TRUE,,,,
PixElement,http://www.pixelement.com,"PixElement provides cloud-based image processing to convert aerial images into 3D data. Claims that Supervised Machine Learning Ground Control Tool enables accuracies to within 1 cm and their detailed accuracy reports include final GPS error, pixel-space residual, and confidence intervals as well as offers unlimited storage. Customers can use a browser to upload imagery, select data products such as dense point clouds, surface models, its processing engine uses a combination of computer vision techniques and photogrammetry to reconstruct 3D from imagery. The data can be visualized in a browser, accessed from other devices and shared with others. Also,  provides analysis and exploitation tools for business intelligence.",Unfunded,n/a,Exploration,Existing,2011,USA,Mining,TRUE,,,,
Stonex,http://www.stonexamerica.com,"Stonex is a provider of suite solution for the mining industry. The product portfolio includes FieldGenius (Surveying Software), Cube T (data collector/staking out software),  GeoGIS (GIS Software), CubeWM (field survey software), NTrip (network management), and others. Apart from providing software solutions, the company also provides GPS, Laser Scanners, Total Stations, and others.",Unfunded,n/a,Optimisation,Emerging,2011,Italy,Mining,TRUE,,,,
Field Eagle,https://www.fieldeagle.com,"Field Eagle provides inspection tools for field operators for mining, Oil & gas, construction, utilities software, transporation and other industries. Provides features like contractor management, training tracking, program management, client location management, white labeling tools, sensor data capture, safety management, document management, assurance management, API integration, inspector management, data management, templates, item management, asset management and others.",Unfunded,n/a,Safety,Emerging,2011,Canada,Mining,TRUE,,,,
K Mine,https://www.k-mine.us,"K-Mine is a provider of suite solution for the mining industry. Software solutions include Survey software, Geologic Software, Geological-Survey Software, Mining Process Software, Mines Ventilation Estimation, Projection and Management of Explosive works, Calculation of the stability of the mine boards, and dump slopes, and others. Clients include Ferrexpo, Evraz, ArcelorMittal, and others.",Unfunded,n/a,Optimisation,Existing,2011,USA,Mining,TRUE,,,,
Assurething,https://assurething.com.au/,"Assurething is a provider of Regulatory and Environmental Compliance software for the mining industry. Some of the key features include Applicable legislative requirements, Record important dates relating to Title, Permits, Licences, and Approvals, Record links to important documents (e.g. copy of Title certificates) stored on customer-owned systems, Associate a number of documents to an Approval, Conditions, and commitments (Obligations) can also be  associated with these documents, Create an Action schedule as a means to comply with Obligations and others. Pricing of the software starts at $75/month (subscription basis).",Unfunded,n/a,Local Resources,Existing,2011,Australia,Mining,TRUE,,,,
ABM Technology,https://www.abmtechnology.com.br,"ABM Technology is a provider of fleet management solution for the mining industry. Functions of the solution include Stops, Speed, Real Time Production, Operator Performance, Distance and Main Indicators. Some of the features include Dashboard with performance results,  Controls, fleet, asset and team management.",Unfunded,n/a,Optimisation,Existing,2011,Brazil,Mining,TRUE,,,,
Minespector,http://minespector.com,"Minespector is a provider of robotics inspection solution for the mining industry. Some of the features include Interchangeable Cameras / Sensors, Cameras for many applications (IR, Thermal, Hyper,etc), Sensors for many application, Camera, Rugged Fibre Chasis, and others.",Unfunded,n/a,Safety,Emerging,2011,Chile,Mining,TRUE,,,,
Cadonix,https://www.cadonix.com,"Archonix is a simulation solution for the mining industry. The software helps to create a schematic diagram of the electrical components. This, in turn, is used for simulation process. Some of the features include Enterprise grade CAD, Cloud-based Software, Real-time deployment and access and others. This is used for Harness Design.",Unfunded,n/a,Build,Existing,2011,United Kingdom,Mining,TRUE,,,,
HexagonPPM,https://hexagonppm.com,HexagonPPM,Unfunded,n/a,,,2011,USA,Mining,FALSE,,,,
Gensys Workforce Systems,https://www.gensys.co.za,"Gensys is a provider of work management solution for the mining industry. The product portfolio includes Workforce Management, Time Management, Compliance Management, and others. Some of the features include Complex shift pattern management, Overtime control, Short time Management and Absenteeism, Bulk Event assignment, Multi-site consolidation and others.",Unfunded,n/a,Optimisation,Existing,2011,South Africa,Mining,TRUE,,,,
Sampra,https://www.sampra.com,"Sampra is a web-based application for designing of material handling equipment in the mining industry. The software helps designer in building specific equipment such as Belt Conveyor, EOT Crane, and Electric Hoist. Some of the featuress provided by the software includes details of Motor, Gearbox, Coupling, Pulley, Idlers, Belt, Counter Weight, Total Weight of Conveyor, etc.",Unfunded,n/a,Specialist Services,Existing,2011,India,Mining,TRUE,,,,
Cubility,https://www.cubility.com.au,"Cubility is a provider of data and analytics solutions for the mining industry. The product portfolio includes Mine Production Management(data audit, reporting and reconciliation ), Geological Data Management (database designed to allow the recording, storing and retrieval of geological data ), Metallurgical Accounting (recording, storing and retrieval of mineral processing data, plant operation and availability data). Along with providing software solutions, the company also provides consulting services.",Unfunded,n/a,Optimisation,Existing,2011,Australia,Mining,TRUE,,,,
INX Software,https://www.inxsoftware.com,"INX Software (previously Cube Consulting Pty Ltd) provides an integrated workforce management system for multiple industries like metal & mining, oil & gas, energy, utilities, telecom, aviation, food & beverabge and others. Its platform is an aggregated set of business requirements like safety, risk, compliance, environement, logistic, training, stakeholder management, change management and others Based on CIO review, holds a place in 20 most promising companies across metal & mining space in 2015.",Acquired,Undisclosed,Optimisation,Existing,2011,Australia,Mining,TRUE,,,,
ProOpt,https://www.proopt.net,"ProOpt is a provider of business intelligence solutions for the mining industry. The business model of the software includes Flowsheet model, Customized dashboards, Decisions and Actions and Plant Performance Data. The solution is used by people across different practice areas such as Management, Prchasing, Engineering, and others.",Unfunded,n/a,Optimisation,Emerging,2011,Switzerland,Mining,TRUE,,,,
Total Contract Management,http://www.totalcontractmanagement.com,"Total Contract Management is a provider of work management tool for the mining industry. The software helps to connect the boardroom to the people on the field. Some of the features include how many people, how many hours, how much productivity, how much material, how much risk, how close to budget and other information related to the field. The solution is a SaaS based solution.",Unfunded,n/a,Optimisation,Emerging,2011,Australia,Mining,TRUE,,,,
Syrah Slurry,https://www.syrahslurry.com,"Syrah Slurry is a provider of pipe parameters solution for the mining industry. The product is used to transfer readings from the slurry pipe onto the spreadsheet which can be accessed from anywhere. Some of the functions include Pipe Reynolds Number, Deposition Velocity under the Slurry pipe, Pressure drop inside the slurry pipe and more. The solution is a SaaS based solution.",Unfunded,n/a,Optimisation,Existing,2012,USA,Mining,TRUE,,,,
NIAflow,https://www.niaflow.com,"NIAflow is a simulation software for mineral processing applications. Applications include Sand Wash Plant, Crushing Plant, and Agglomeration. Features include Modeling, Design, Visualization, Documentations, and objects.Pricing categories include Basic (Free of charge) and Mining (1.500,00 Euros).",Unfunded,n/a,Specialist Services,Existing,2012,Germany,Mining,TRUE,,,,
GeoReka,https://www.geo-reka.com,"GeoReka is a provider of geological modeling software for the mining industry. The product and modules include GeoRaka (modular geological modeling software), Envision Module, Data-Driven Modeling module , and Interactive Modeling Module.",Unfunded,n/a,Exploration,Existing,2012,United Kingdom,Mining,TRUE,,,,
AquilaFMS,http://aquilatrack.com/global_fms/welcome2.php,"AquilaFMS is an online GPS-enabled fleet management solution. Features offered by the solution include real-time vehicle tracking, trip management, geofencing, fuel management, alert/OBD Dashboard, vehicle & driver management, vehicle performance reporting, automated trip creation & route assignment. Bosch, Uber, OLA, Rolta, MapMyIndia, Escorts, Ministry of Defence, Indian Air Force, and Mysore Minerals constitute their clientele.",Unfunded,n/a,Optimisation,Existing,2012,India,Mining,TRUE,,,,
BasRock Software,https://www.basrock.net,"BasRock Software is a provider of geo-mapping software for the mining industry. The product portfolio includes Trajec3D (a three-dimensional rigid body rock fall analysis program), GEM4D (a Geotechnical Manager in 4 Dimensions), and PhotoCoreLog (makes measurements from images). The software is available free of charge but is sold as a shareware if required for a longer period of time.",Unfunded,n/a,Exploration,Existing,2012,Australia,Mining,TRUE,,,,
SafetyStatus,http://www.safetystatus.com.au/safety-status-home.htm,"SafetyStatus is a provider of risk management software for the mining industry. The product portfolio includes SafetyStatus Site Manager (tool designed to edit the data within SafetyStatus Mobile), SafetyStatus Mobile (an electronic audit/inspection sheet which tracks daily work ), and SafetyStatus Analysis (Reporting system).",Unfunded,n/a,Safety,Existing,2012,Australia,Mining,TRUE,,,,
DKG Labs,http://www.dkgrouplabs.com,"DKG Labs is an asset tracking and fleet management solutions company. InciMat, their flagship product, is an asset tracking solution using RFID, GPS, and integrated readers. Features offered by the solution include incident management, vehicle tracking system, supply chain &amp; logistics tracking system, GPS chat server application, disaster management, truck dispatch monitoring, and employee &amp; sales force tracker. Other tracking products offered by the company include a GPS-enabled solution for mining safety and mining toolkit for blasting environment.",Unfunded,n/a,Optimisation,Emerging,2012,India,Mining,TRUE,,,,
Kanepi,https://www.kanepi.com,"Kanopi is a provider of information system for the mining industry. The product portfolio includes Asset Collaboration, Visualisation, Operation Production Reporting, Management of Change, Permit to Work, and others. Along with custom solutions, the company also provides advisory services to its clients.",Unfunded,n/a,Optimisation,Existing,2012,Singapore,Mining,TRUE,,,,
Element Process Tech,https://elementprotech.com/,"Element Process Tech is a provider of simulator solution for the mining industry. The products are used for providing simulation solution for the design and operations part of the mining industry. Some of the features include Heap Leaching, Mine Water Treatment, and Pilot Plant Simulation.",Unfunded,n/a,Build,Existing,2012,Australia,Mining,TRUE,,,,
Asset Hive (Silverhorse Tech),https://www.silverhorsetech.com,"Silverhouse Technologies is a provider of suite solution. The product portfolio includes Human Resources, Vendor Packaging, Time Management, Construction, Commissioning, Inspection Connect, Maintenance, Hazardous Area Inspections, and Connect Analytics. Some of the mining projects undertaken by them include Wiggins Island, West Angelas Power Station and more.",Unfunded,n/a,Optimisation,Existing,2012,Australia,Mining,TRUE,,,,
Mine Vision Systems,https://www.minevisionsystems.com,"Mine Vision Systems is a provider of innovative solutions for the mining industry. The solution provided by the company contains an integrated sensor and data capture software system that uses a system of LiDAR and stereo-camera inputs from a mobile platform. Features include Ability to map 20km in 3hrs, Georeferenced point clouds, Vehicle mounted sensor, and others.",Unfunded,n/a,Optimisation,Emerging,2012,USA,Mining,TRUE,,,,
Stone Three Mining,https://www.stonethreemining.com,"Stone Three Mining is a provider of mineral processing solutions for the mining industry. The product portfolio includes Intelliore Lynxx PSA (particle size analyzers), IntelliFroth floatation sensors (froth sensors), BubbleSizer (bubble sizers), and Intelliore Volume (volumetric material analyzers ). Some of the key clients include Anglo American, Kumba Iron Ore, African Rainbow Minerals, AngloGold Ashanti, Sasol and First Quantum Minerals and others.",Unfunded,n/a,Optimisation,Existing,2012,South Africa,Mining,TRUE,,,,
Itasca,https://www.itasca.se,"Itasca is a provider of simulator solution for the mining industry. The product portfolio includes Griddle (Interactive pre-processing and plug-in), Block Ranger (Interactive elements generation and plug-in), Flac (Advanced 2D continuum modeling for geotechnical analysis of rock, soil and structural reinforcement), and others. Some of the key clients include Agnico Eagle Mines Finland, Boliden Mineral AB, Sweden, Boliden Tara Mine, Ireland, and others.",Unfunded,n/a,Exploration,Existing,2012,Sweden,Mining,TRUE,,,,
Primarius,http://www.primarius.com.au,"Primarius is a provider of warehouse optimization solution. Solutions include OMS Inventory Optimization, Product Sourcing, Resource and Route Optimization, Vehicle Routing Optimization, and others. Some of the features include Production outputs, Warehouse Capabilities, Transport Constraints, Manning and supervisory requirements, and others. Along with mining, they also serve other  industries such as Retail, Transport, Telecommunications, and others.",Unfunded,n/a,Optimisation,Existing,2012,Australia,Mining,TRUE,,,,
RFIdentity,https://www.rfidentity.com,"RFIdentity is a provider of work management software for the mining industry.  The Product Portfolio includes Asset and Inspection Management, Time and Attendance, Manufacturing and Distribution, Access Control and others.  Technologies include Active and Passive RFID, Readers and Tags, and others. Features include WEb-based Administration, Passive Identification Solutions, Real-time reporting, and others.",Unfunded,n/a,Optimisation,Existing,2012,USA,Mining,TRUE,,,,
GTS Software,https://www.gtssoftware.com.au,"GTS Software is a provider of budgeting and forecasting solutions for the mining industry. The product portfolio includes CTS (capital cost estimating software) and CMS (cost and performance control software). Services include Software Analysis, Software Design, Software Programming, System Management, Software Project Management, Data Conversion, and more.",Unfunded,n/a,Exploration,Existing,2012,Australia,Mining,TRUE,,,,
CCS Mining & Industrial,https://www.ccsmi.com,"CCSMI is a provider of forecasting and budgeting software. Some of the features of the software include financial and ERP integration, document management, project reporting and others. The software provides Cost Estimation, Progress Measurement, Cost Control and Earned Value Management. Some of the associations include Oracle, SAP, Primavera, and others.",Unfunded,n/a,Exploration,Existing,2012,South Africa,Mining,TRUE,,,,
OpenContour,http://www.opencontour.com,"OpenContour is a provider of open pit planning software. The software accepts block model data, uses 2D out design contours, schedules mine physical and financials to come up with a mine layout planning. The software is a SaaS based technology.",Unfunded,n/a,Specialist Services,Existing,2012,USA,Mining,TRUE,,,,
Minerality,https://www.minerality.com.au,"Minerality offers simulation software solutions for mineral processing. Its product ""MetSmart"", helps in the simulation of ore behavior during grinding and flotation processes. Used to identify bottlenecks and optimize the process of mineral processing. Also, offers consultancy and training services.",Unfunded,n/a,Optimisation,Existing,2012,Canada,Mining,TRUE,,,,
Leapfrog3D,https://www.leapfrog3d.com,"Leapfrog is a 3D geological modeling software catering to the mining and geothermal industries. It enables users to design and visualize data in 3-D, build and evaluate models for different hypothesis, and view analysis through reports. Provides a mobile application for viewing models remotely. Some of its clients include Elea IC, Montgomery & Associates, and Ecan etc.",Unfunded,n/a,Build,Emerging,2012,USA,Mining,TRUE,,,,
Paradyn,https://paradynsystems.com/,"Paradyn's BlendOpt software is a mining supply chain optimization software using interactive analytics and mathematical optimization; to analyze material flow traceability from orebody block to point of sale. It can optimize transportation, routing, stockpiling, and processing decisions. Mining software solutions include product strategy optimization, logistics, design studies, and integrated planning; for mine-to-market optimization. It also provides consulting services and partner with other consulting companies for end-to-end services, and license BlendOpt software using a SaaS model.",Unfunded,n/a,Supply,Existing,2012,Australia,Mining,TRUE,,,,
MPPI Global,https://mppiglobal.com/,"MPPI Global provides asset monitoring, analytics, and optimization solutions to heavy asset industries like mining etc. It provides an OEE module which calculates the performance, quality losses and identifies the causes for the same. The downtime module provides real-time data for managing risks and costs associated with maintenance activities. The CPEM module helps in identifying losses beforehand thereby improving efficiency. Provides a dashboard for viewing operational data and insights into the performance of assets. Some of its clients include Rio Tinto and African Barrick Gold among others.",Unfunded,n/a,Optimisation,Emerging,2012,Australia,Mining,TRUE,,,,
Alastri,http://www.alastri.com,"Alastri offers mine planning software solutions to open pit mines. This includes a Tactical Scheduler which helps in the modeling of mine schedules through a linear workflow. Multiple scenarios can be analyzed through the scheduler. Spatial Conformetrics is a platform which helps in the reconciliation of mine plans to production by analyzing mine performance. Rapid Reserver helps in designing blasts for an open pit. Haul Infinity provides haulage planning and analysis solutions for optimizing mine operations. Some of its clients include Atlas, Watpac, Gold Fields, and Macmahon etc.",Unfunded,n/a,Optimisation,Existing,2012,Australia,Mining,TRUE,,,,
Reactore,https://reactore.com/,"Reactore solution provides on-premise ERP solution for mining. Different modules offered by the solution include operational planning, production, beneficiation, human resources, asset management, asset tracker, RBridge (for ensuring safety using proximity detection and wearable protection devices), and Sales & Distribution.  The solution also offers an integrated mobile force application for facilitating up and downstream data propagation from the control room to field and vice versa.",Unfunded,n/a,Optimisation,Existing,2012,South Africa,Mining,TRUE,,,,
Minalytix,https://www.minalytix.net,"Minalytix offers customized exploration software to mining companies through its product, ""Mxdeposit"". Its features include visualization, drill hole data management, geophysical, geochemical analysis, modeling, feasibility, and financial planning etc. Additionally, offers consultancy services to its clients.",Unfunded,n/a,Exploration,Emerging,2012,Canada,Mining,TRUE,,,,
Mineral Forecast,http://www.mineralforecast.com,"Mineral Forecast offers modeling software solutions to mining companies for their exploration processes. Utilizing multivariate statistical and predictive models it helps businesses identify prospective areas for mining, determine the probabilities of success and in allocating resources to the process in an effort to optimize drilling operations.  Some of its customers include Codelco, AngloAmerican, Bio Latanidos Minera etc.",Unfunded,n/a,Exploration,Emerging,2012,Chile,Mining,TRUE,,,,
HiKey Resources,https://hikey-resources.com/en/home-page/,"HiKey Resources is a web and mobile app for digital timekeeping targeted at construction and mining industry. Features include digital timesheets, live reporting, fatigue safety alerts, leave management, crew management, and integration with popular ERP and payroll systems.",Unfunded,n/a,Optimisation,Existing,2012,Australia,Both,TRUE,,,,
MineExcellence,https://www.mineexcellence.com,"MineExcellence offers SaaS-based solutions catering to mining companies, specifically for the blasting process. This includes blast design, modeling, data collection, fly rock prediction, blast analysis, control, and reporting etc.  Some of its clients include BARC, Thriveni, and Hindustan Zinc, Vasavadatta Cement, and JK Cement Ltd. among others.",Unfunded,n/a,Specialist Services,Emerging,2012,India,Mining,TRUE,,,,
ZMI P/L,http://www.zmi.com.au/zmi_home.html,"ZMI P/L is a provider of maintenance solutions. Product portfolio includes RouteMaintenace Software ( fixed plant maintenance and safety inspections ),  Rail and PortMaintenance Software (  Periodic inspections from a maintenance or safety perspective solutions ), EquipmentStatus ( asset inspections and commissioning ), and SafetyStatus Software ( afe and efficient safety audits, in the field, electronically ).",Unfunded,n/a,Asset Health,Existing,2012,Australia,Mining,TRUE,,,,
IHazard,https://www.ihazard.com.au,"iHazard is a safety management system specifically designed for the mining Industry. Functionality includes  Real Time Data Capture, Real Time Compliance Reporting, Real Time Savings, and others. The software can used in three ways: First is an iPhone app, second is deployment of a kiosk, and third is a website.",Unfunded,n/a,Safety,Existing,2012,Australia,Mining,TRUE,,,,
Translogik,https://trans-logik.com,"Translogik is a provider of tire management solutions. The product portfolio includes wireless tyre temperature and pressure monitoring systems, tread depth, pressure and temperature data collection tools for truck, bus and OTR vehicle tyre inspections, and RFID (Radio Frequency Identification) tags, patches and UHF readers for tyres. Some of the key clients include BHP Billiton, Glencore, Anglo American , and others.",Unfunded,n/a,Optimisation,Existing,2012,United Kingdom,Mining,TRUE,,,,
PrimeThought,https://primethought.biz,"PrimeThoughts is a complete exploration suite that provides end to end spatial solutions. Product portfolio includes GeologXL ( Advanced Enterprise Geological Mapping ), SpatialBase ( 3D Spatial database ), SamplingXL ( Underground Sampling Solution ), RouteXL ( Routing and Transportation scheduling ), SurveyXL ( Survey Solution ), MineModeller ( survey solution for underground and open pit ), LocateXL ( Spatial Analytics ) and LocateXL ( high speed bulk geocoder ).",Unfunded,n/a,Exploration,Existing,2012,South Africa,Mining,TRUE,,,,
Yoy Simulator,https://www.yoy.cl,"Yoy Simulator is a provider of mine fleet simulators.Products include simulators, e-learning and more. Some of the simulators examples include mining truck simulator, crane bridge simulator, fork lift simulator and more. Some of the key clients include Alta vision, Marss, ISEC, and others. The e-learning software can be accessed from smartphones, tablets, MAC, Conventional PC and others.",Unfunded,n/a,Optimisation,Emerging,2013,Chile,Mining,TRUE,,,,
